Date,Country,State,Activity,Sex,Age,Deceased,Month,Year
2019-08-01,usa,FLORIDA,wading,M,11.0,N,August,2019.0
2019-08-01,usa,HAWAII,swimming,F,26.0,N,August,2019.0
2019-08-01,fiji,,fishing,M,32.0,N,August,2019.0
2019-08-01,usa,FLORIDA,wading,M,9.0,N,August,2019.0
2019-08-01,usa,HAWAII,surfing,M,16.0,N,August,2019.0
2019-08-01,usa,FLORIDA,Unspecific,M,51.0,N,August,2019.0
2019-08-01,usa,FLORIDA,surfing,F,21.0,N,August,2019.0
2019-08-01,usa,FLORIDA,surfing,M,20.0,N,August,2019.0
2019-08-01,usa,FLORIDA,diving,M,37.0,N,August,2019.0
2019-07-01,usa,HAWAII,swimming,M,49.0,N,July,2019.0
2019-07-01,usa,NORTH CAROLINA,fishing,M,,N,July,2019.0
2019-07-01,usa,FLORIDA,surfing,M,18.0,N,July,2019.0
2019-07-01,australia,QUEENSLAND,diving,F,,UNKNOWN,July,2019.0
2019-07-01,usa,FLORIDA,boarding,M,49.0,N,July,2019.0
2019-07-01,usa,FLORIDA,surfing,M,23.0,N,July,2019.0
2019-07-01,usa,RHODE ISLAND,surfing,M,18.0,N,July,2019.0
2019-07-01,new zealand,CHATHAM ISLANDS,diving,M,45.0,N,July,2019.0
2019-07-01,usa,NORTH CAROLINA,surfing,F,,N,July,2019.0
2019-07-01,usa,FLORIDA,boarding,F,16.0,N,July,2019.0
2019-07-01,south africa,EASTERN CAPE PROVINCE,surfing,M,,N,July,2019.0
2019-07-01,australia,QUEENSLAND,kayaking,M,43.0,N,July,2019.0
2019-07-01,mexico,QUINTA ROO,fishing,M,,N,July,2019.0
2019-07-01,bahamas,ABACO ISLANDS,diving,M,32.0,N,July,2019.0
2019-06-01,usa,FLORIDA,surfing,M,18.0,N,June,2019.0
2019-06-01,bahamas,LUCAYAN ARCHIPELAGO,diving,F,21.0,Y,June,2019.0
2019-06-01,bahamas,ABACO ISLANDS,fishing,M,,N,June,2019.0
2019-06-01,usa,NORTH CAROLINA,swimming,M,8.0,N,June,2019.0
2019-06-01,bahamas,,diving,M,50.0,UNKNOWN,June,2019.0
2019-06-01,usa,GEORGIA,swimming,M,64.0,N,June,2019.0
2019-06-01,usa,NORTH CAROLINA,surfing,M,19.0,N,June,2019.0
2019-06-01,australia,TASMANIA,diving,M,,N,June,2019.0
2019-06-01,australia,NEW SOUTH WALES,surfing,M,,N,June,2019.0
2019-06-01,usa,NORTH CAROLINA,Unspecific,F,17.0,N,June,2019.0
2019-05-01,new caledonia,BÉLEP ISLANDS,fishing,M,43.0,Y,May,2019.0
2019-05-01,usa,HAWAII,swimming,M,65.0,Y,May,2019.0
2019-05-01,new caledonia,NOUMEA,swimming,M,10.0,N,May,2019.0
2019-05-01,usa,NEW JERSEY,boarding,M,67.0,N,May,2019.0
2019-05-01,fiji,,diving,M,,N,May,2019.0
2019-05-01,usa,HAWAII,surfing,M,,N,May,2019.0
2019-05-01,australia,QUEENSLAND,surfing,M,53.0,N,May,2019.0
2018-05-01,reunion island,,surfing,M,28.0,Y,May,2018.0
2019-05-01,usa,HAWAII,swimming,F,34.0,N,May,2019.0
2019-05-01,usa,CALIFORNIA,surfing,F,28.0,N,May,2019.0
